24 01 2021 1900
48
Invercargill	76	483	13.4	12.2	1004.3	1004.4
Nugget-Point	113	484	14.1	12.2	991.1	1006.7
Dunedin	131	462	14.1	13	1006.3	1006.6
Enderby-Island	42	633	8.5	7	993.6	998.3
Campbell-Island	107	709	7.9	3.2	993.3	995.1
26 01 2021 100
46
Cape-Reinga	186	38	18.7	18.3	990.9	1015.9
Kaitaia	203	59	20.1	17.7	1006.4	1015.4
Kerikeri	216	63	19.2	16.9	997	1014.6
Whangarei	239	89	20.8	17.9	1010	1014.8
Mokohinau-Islands	251	89	20	17.6	1005.2	1013.3
Auckland	249	133	20.2	18	1013.1	1014
Whitianga	275	128	19.3	15.2	1012.5	1013
Hamilton	261	163	14.4	12.9	1007.3	1013.6
Tauranga	288	161	18	12.8	1011.1	1011.5
Hicks-Bay	346	156	18.3	16.4	1004.3	1009.6
Port-Taharoa	246	174	19.1	17.8	1010.8	1013.7
Taupo	282	189	16.4	12.9	964.8	1012.2
Gisborne	339	198	14.4	13.4	1008.5	1009
New-Plymouth	228	208	17.6	17	1009.8	1013.3
Hawera	231	227	16.6	15.1	1001	1012.7
Whanganui	248	239	18.8	14.5	1010.9	1011.9
Waiouru	265	214	11.3	10.9	919.7	-999
Napier	307	226	22.3	11.5	1008.8	1009.1
Mahia	336	216	17.3	15.6	993.4	1009.3
Palmerston-North	270	256	18.4	15.2	1006.4	1011.9
Levin	261	264	17.3	15.4	1010.3	1011.9
Paraparaumu	254	279	17.3	15.2	1010.7	1011.4
Wellington	246	291	17.8	14.3	1008.7	1010.2
Ngawi	259	302	20.1	12.2	1007.8	1008.5
Castlepoint	285	276	17.7	14.1	993.5	1007.4
